ticker  name    index   price   market_cap
AZN	AstraZeneca	FTSE 100	11,498.00	178,199.8
SHEL	Shell	FTSE 100	2,282.00	156,919.7
HSBA	HSBC Holdings	FTSE 100	600.10	119,847.7
BHP	BHP Group Ltd		2,249.00	113,828.0
ULVR	Unilever	FTSE 100	4,045.00	102,362.6
BP.	BP	FTSE 100	466.60	83,231.4
DGE	Diageo	FTSE 100	3,402.50	76,776.0
RIO	Rio Tinto	FTSE 100	4,839.50	60,534.0
BATS	British American Tobacco	FTSE 100	2,597.50	58,077.7
GSK	GSK	FTSE 100	1,371.00	56,141.5
GLEN	Glencore	FTSE 100	416.80	52,532.9
REL	RELX	FTSE 100	2,485.00	47,356.8
RKT	Reckitt Benckiser Group	FTSE 100	6,290.00	45,036.3
BNC	Banco Santander SA		273.00	43,844.9
LSEG	London Stock Exchange Group	FTSE 100	8,480.00	42,613.9
NG.	National Grid	FTSE 100	1,100.00	40,440.5
CPG	Compass Group	FTSE 100	2,206.00	38,509.2
WDS	Woodside Energy Group Ltd		1,809.00	34,348.4
PRU	Prudential	FTSE 100	1,125.00	30,933.8
AAL	Anglo American	FTSE 100	2,265.00	30,296.1
LLOY	Lloyds Banking Group	FTSE 100	45.22	30,231.1
HLN	Haleon	FTSE 100	321.80	29,716.9
CRH	CRH	FTSE 100	3,873.00	28,794.1
BA.	BAE Systems	FTSE 100	942.40	28,777.6
FLTR	Flutter Entertainment	FTSE 100	15,770.00	27,778.9
EXPN	Experian	FTSE 100	2,824.00	25,956.9
NWG	NatWest Group	FTSE 100	265.30	25,550.6
BARC	Barclays	FTSE 100	155.80	24,595.2
FERG	Ferguson		11,950.00	24,566.1
AHT	Ashtead Group	FTSE 100	4,938.00	21,660.4
OTV2	Octopus Titan VCT		1,553.47	21,250.6
VOD	Vodafone Group	FTSE 100	77.75	20,986.7
SSE	SSE	FTSE 100	1,858.50	20,263.1
TSCO	Tesco	FTSE 100	262.20	19,188.7
III	3i Group	FTSE 100	1,959.00	19,067.2
STAN	Standard Chartered	FTSE 100	643.20	18,276.2
WPM	Wheaton Precious Metals Corp		3,650.00	16,509.6
RTO	Rentokil Initial	FTSE 100	633.20	15,956.9
IMB	Imperial Brands	FTSE 100	1,698.50	15,728.7
BT.A	BT Group	FTSE 100	145.90	14,490.2
ABF	Associated British Foods	FTSE 100	1,830.50	14,305.0
LGEN	Legal & General Group	FTSE 100	230.30	13,756.5
ANTO	Antofagasta	FTSE 100	1,363.00	13,437.2
RR.	Rolls-Royce Group	FTSE 100	144.40	12,082.8
AV.	Aviva	FTSE 100	405.10	11,343.1
BNZL	Bunzl	FTSE 100	3,158.00	10,664.1
SN.	Smith & Nephew	FTSE 100	1,215.00	10,611.3
INF	Informa	FTSE 100	703.80	9,869.4
SGRO	Segro	FTSE 100	798.00	9,647.8
S32	South32 Ltd		209.50	9,575.2
SMT	Scottish Mortgage Investment Trust	FTSE 100	673.20	9,488.6
WPP	WPP Group	FTSE 100	877.60	9,398.5
